Name,Address,County
MAINSTREET FAMILY CARE - TALLADEGA,"837 EAST BATTLE STREET, TALLADEGA, AL 35160",TALLADEGA
MAINSTREET FAMILY CARE - VALLEY,"3306 20TH AVENUE, VALLEY, AL 36854",CHAMBERS
MARBLE CITY FAMILY CARE & OBSTETRICS,"11 N NORTON AVE, SYLACAUGA, AL 35150-2451",TALLADEGA
MARBLE CITY PHARMACY,"264 W FORT WILLIAMS ST, SYLACAUGA, AL 35150-2432",TALLADEGA
MARENGO CO HLTH DEPT - LINDEN,"303 INDUSTRIAL DR, LINDEN, AL 36748-2002",MARENGO
MARGARET PHARMACY,"145 JEFFREY WILSON DRIVE, ODENVILLE, AL 35120",ST. CLAIR
MARION CLINIC,"1768 S WASHINGTON ST, MARION, AL 36756-3406",PERRY
MARION CO HLTH DEPT,"2448 MILITARY ST S, HAMILTON, AL 35570-6673",MARION
MARSHALL CO HLTH DEPT,"150 JUDY SMITH DR, GUNTERSVILLE, AL 35976-4500",MARSHALL
MARSHALL MEDICAL CENTER NORTH,"8000 AL HIGHWAY 69, GUNTERSVILLE, AL 35976-7140",MARSHALL
MARSHALL MEDICAL CENTER SOUTH,"2505 US HIGHWAY 431, BOAZ, AL 35957-5908",MARSHALL
MARTIN'S PHARMACY-OXFORD,"610 QUINTARD DRIVE , OXFORD , AL 36203",CALHOUN
MARY STARKE HARPER GERIATRIC PSYCHIATRY CENTER,"115 HARPER COURT, TUSCALOOSA, AL 35401",TUSCALOOSA
MCH PHYSICIANS GROUP,"2016 S ALABAMA AVE STE C, MONROEVILLE, AL 36460-3044",MONROE
MED WEST CLINIC,"7715 US HIGHWAY 72 WEST , ATHENS , AL 35611",LIMESTONE
MEDICAL CENTER  ENTERPRISE,"400 N EDWARDS ST, ENTERPRISE, AL 36330-2510",COFFEE
MEDICAL CENTER BARBOUR,"820 W WASHINGTON ST, EUFAULA, AL 36027-1822",BARBOUR
MEDICAL WEST HOSPITAL,"995 9TH AVE SW, BESSEMER, AL 35022-4527",JEFFERSON
MERCEDES CAREHERE HEALTH AND WELLNESS CENTER-TUSCALOOSA,"971 FAIRFAX PARK, TUSCALOOSA, AL 35406",TUSCALOOSA
MERCEDES CAREHERE HEALTH AND WELLNESS CENTER-VANCE,"1 MERCEDES DRIVE, VANCE, AL 35940",TUSCALOOSA
MIKE'S DISCOUNT PHARMACY,"201 KIRKLAND ST., ABBEVILLE, AL 36310",HENRY
MIKE'S SOUTHSIDE PHARMACY,"1006 S. OATES ST., DOTHAN, AL 36301",HOUSTON
"MILLRY PEDIATRIC CLINIC, LLC DBA MILLRY FAMILY CARE","73 LONG STREET, MILLRY, AL 36558-4551",WASHINGTON
MILLS PHARMACY AT EUTAW,"306 MORROW AVE, EUTAW, AL 35462",GREENE
MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST, OPP, AL 36467-1626",COVINGTON
MONROE CO HLTH DEPT,"416 AGRICULTURE DR, MONROEVILLE, AL 36460-8686",MONROE
MONROE COUNTY HOSPITAL,"2016 SOUTH AL AVENUE, MONROEVILLE, AL 36460",MONROE
MONTEVALLO FAMILY MEDICINE,"33 SALEM RD STE 1, MONTEVALLO, AL 35115-3586",SHELBY
MONTGOMERY CO HLTH DEPT,"3060 MOBILE HWY, MONTGOMERY, AL 36108-4027",MONTGOMERY
MONTGOMERY WATER WORKS HEALTH CENTER,"3845 INTERSTATE COURT SUITE 1, MONTGOMERY, AL 36109",MONTGOMERY
MORGAN CO HLTH DEPT,"3821 US HIGHWAY 31 S, DECATUR, AL 35603-1637",MORGAN
MOSTELLAR MEDICAL CENTER,"12701 PADGETT SWITCH RD, IRVINGTON, AL 36544-4011",MOBILE
MOUNTAIN VIEW HOSPITAL GADSDEN,"3001 SCENIC HWY, GADSDEN, AL 35904-3047",ETOWAH
MULBERRY MEDICAL ASSOCIATES,"1301 MULBERRY STREET, MONTGOMERY, AL 36106",MONTGOMERY
NABERS FAMILY MEDICAL CLINIC,"219 HOSPITAL RD, RED BAY, AL 35582-3858",FRANKLIN
NEW GRAND BAY PHARMACY,"12475 US HIGHWAY 90, GRAND BAY, AL 36541-5707",MOBILE
NORTH ALABAMA MEDICAL CENTER,"PO BOX 818, FLORENCE, AL 35630",LAUDERDALE
NORTH DEKALB PRIMARY CARE,"106 45TH ST NE, FORT PAYNE, AL 35967-4010",DEKALB
NORTH MISSISSIPPI MEDICAL CENTER-HAMILTON,"1256 MILITARY ST S, HAMILTON, AL 35570-5003",MARION
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 E 10TH ST, ANNISTON, AL 36207-4716",CALHOUN
NORTHWEST MEDICAL CENTER,"1530 US HIGHWAY 43, WINFIELD, AL 35594-5056",MARION
OAK PARK PHARMACY,"1365 GATEWOOD DRIVE, AUBURN, AL 36830",LEE
ODENVILLE DRUGS,"140 COUNCIL DRIVE, ODENVILLE, AL 35120",ST. CLAIR
PARKER JAMES L,"100 5TH ST NE, ALICEVILLE, AL 35442-2200",PICKENS
PARKWAY PHARMACY-MOODY,"1021 CROSSROADS PLAZA DR, MOODY, AL 35004",ST. CLAIR
PAYLESS PHARMACY,"1206 7TH STREET SE, DECATUR, AL 35601",MORGAN
PEDIATRIC CARE CTR OF NE AL-DR A MARTIN,"304 E 4TH ST, ANNISTON, AL 36207-6012",CALHOUN
PELL CITY PHARMACY,"1027 MARTIN STREET SOUTH, PELL CITY, AL 35128",ST. CLAIR
PERRY CO HLTH DEPT - MARION CLINIC,"1748 S WASHINGTON ST, MARION, AL 36756-3406",PERRY
PHYSICIANS CARE OF THOMASVILLE,"33621 HIGHWAY 43 STE 202, THOMASVILLE, AL 36784-3309",CLARKE
PICKENS CO HLTH DEPT,"80 WILLIAM E HILL DR, CARROLLTON, AL 35447-3231",PICKENS
PICKENS COUNTY PRIMARY CARE PC,"108 4TH AVE SW STE A, REFORM, AL 35481-8018",PICKENS
PIKE CO HLTH DEPT,"900 S FRANKLIN DR, TROY, AL 36081-3812",PIKE
PILCHER-MCBRYDE DRUG COMPANY,"101 BROAD ST, SELMA, AL 36701-4606",DALLAS
PISGAH MEDICAL CLINIC,"PO BOX 246, PISGAH, AL 35765-0246",JACKSON
PREMIER FAMILY CARE BLOUNTSVILLE,"68278 MAIN ST , BLOUNTSVILLE, AL 35031",BLOUNT
PREMISE HEALTH WELLNESS CENTER AT RHEEM,"2650 GUNTER PARK DR EAST, MONTGOMERY, AL 36109",MONTGOMERY
PRIMARY CARE CENTER OF MONROEVILLE,"1075 DREWRY RD STE B, MONROEVILLE, AL 36460-2839",MONROE
PRIMARY CARE SERVICES-BLOUNT LLC,"101 LEMLEY DR STE A, ONEONTA, AL 35121-2100",BLOUNT
PRIME CARE MEDICAL CENTER,"203 W LEE ST, TUSKEGEE, AL 36083",MACON
PRO-MED PC,"302 PAUL STABLER DR, GREENVILLE, AL 36037-3128",BUTLER
PROFESSIONAL MEDICAL ASSOCIATES PC,"101 E BRUNSON ST STE 200, ENTERPRISE, AL 36330-2500",COFFEE
PROTEUS MOLECULAR AND CLINICAL LAB,"218 SUMMIT PARKWAY SUITE 250, HOMEWOOD, AL 35209",JEFFERSON
PROVIDENCE HOSPITAL,"6801 AIRPORT BLVD, MOBILE, AL 36608-3709",MOBILE
PULMONARY ASSOCIATES PA,"1450 ROSS CLARK CIRCLE SUITE 400, DOTHAN, AL 36301",HOUSTON
RAINSVILLE DRUGS INC,"503 MAIN ST W, RAINSVILLE, AL 35986-5944",DEKALB
RANDOLPH CO HLTH DEPT - ROANOKE,"320 MAIN ST, ROANOKE, AL 36274-1436",RANDOLPH
RAPID CARE INC - ALBERTVILLE,"9511 US HIGHWAY 431, ALBERTVILLE, AL 35950-0128",MARSHALL
RED BAY HOSPITAL,"211 HOSPITAL RD, RED BAY, AL 35582-3858",FRANKLIN
RED MOUNTAIN WELLNESS AND INTERNAL MEDICINE PC,"200 OFFICE PARK DR STE 201, MOUNTAIN BRK, AL 35223-2455",JEFFERSON
REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA-RMCCA,"29 L V STABLER DR, GREENVILLE, AL 36037-3850",BUTLER
REHABILITATION HOSPITAL OF PHENIX CITY LLC,"3715 HWY 280/431 NORTH, PHENIX CITY, AL 36867",RUSSELL
RICKS DISCOUNT DRUGS,"1433 3RD ST SW, ATTALLA, AL 35954-1132",ETOWAH
RITCH'S PHARMACY,"2714 CAHABA RD, MOUNTAIN BRK, AL 35223-2304",JEFFERSON
RIVER REGION FAMILY MEDICINE,"277 HUNTRESS ST , WETUMPKA, AL 36092",ELMORE
RIVERVIEW REG MEDICAL CTR,"600 S 3RD ST, GADSDEN, AL 35901-5304",ETOWAH
ROBERTS CLINIC,"106 EDWINA ST, EVERGREEN, AL 36401-3319",CONECUH
ROCK CREEK PHARMACY,"6817 WARRIOR RIVER RD, BESSEMER, AL 35023-5601",JEFFERSON
RONNIE CHU MD PC,"951 US HIGHWAY 80 W, DEMOPOLIS, AL 36732-4156",MARENGO
RUSH MEDICAL GROUP,"1221 N WASHINGTON ST, LIVINGSTON, AL 35470-5410",SUMTER
RUSSELL COUNTY HEALTH DEPARTMENT,"1850 CRAWFORD RD, PHENIX CITY, AL 36867-4222",RUSSELL
RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280, ALEXANDER CITY, AL 35010-3369",TALLAPOOSA
RUSSELLVILLE HOSPITAL,"PO BOX 1089, RUSSELLVILLE, AL 35653-1089",FRANKLIN
SAM GLOVER DRUG,"408 WEST 18TH STREET, JASPER, AL 35501",WALKER
SAND MOUNTAIN FAMILY PRACTICE,"5104 US HIGHWAY 431, ALBERTVILLE, AL 35950-0237",MARSHALL
SARHA DOCTORS CENTER,"1412 ELBA HWY , TROY, AL 36079",PIKE
SARHA-CLAYTON FAMILY HEALTH CENTER,"7 WESTERN BYP, CLAYTON, AL 36016-2013",BARBOUR
SARHA-DOZIER FAMILY HEALTH CTR,"18131 DOZIER HWY, DOZIER, AL 36028-2719",CRENSHAW
SARHA-ENTERPRISE CHILDREN'S CENTER AND FAMILY MEDICINE,"105 E WATTS ST, ENTERPRISE, AL 36330-2511",COFFEE
SARHA-GENEVA FAMILY HEALTH CTR,"100 W LAKE PROFESSIONAL PARK STE 1, GENEVA, AL 36340-1200",GENEVA
SARHA-SLOCOMB FAMILY HEALTH CENTER,"162 S DALTON ST, SLOCOMB, AL 36375-5669",GENEVA
SECTION PHARMACY INC,"5295 TAMMY LITTLE DR, SECTION, AL 35771-7203",JACKSON
SEIB STATE WELLNESS CENTER,"101 S UNION ST, MONTGOMERY, AL 36130-3022",MONTGOMERY
SEMMES PHARMACY,"4154 WULFF RD EAST SUITE E, SEMMES, AL 36575-5287",MOBILE
SHELBY BAPTIST MEDICAL CENTER,"1000 1ST ST N, ALABASTER, AL 35007-8703",SHELBY
SHELBY CO HLTH DEPT - PELHAM,"2000 COUNTY SERVICES DR, PELHAM, AL 35124-6149",SHELBY
SHOALS HOSPITAL,"201 W AVALON AVENUE, MUSCLE SHOALS, AL 35662-3359",COLBERT
SOUTH BALDWIN REGIONAL MEDICAL CENTER,"1613 N MCKENZIE ST, FOLEY, AL 36535-2247",BALDWIN
SOUTHEAST HEALTH,"1108 ROSS CLARK CIR, DOTHAN, AL 36301-3022",HOUSTON
SOUTHEAST PEDIATRICS PC,"804 CRAWFORD ST, TUSKEGEE, AL 36083-7262",MACON
SOUTHERN FAMILY HEALTH LLC,"PO BOX 769, COLUMBIANA, AL 35051-0769",SHELBY
SOUTHERN IMMEDIATE CARE,"4100 MCCLELLAN BLVD, ANNISTON, AL 36201-2132",CALHOUN
SOUTHSIDE FAMILY PHARMACY,"1250 HIGHWAY 77, SOUTHSIDE, AL 35907-0405",ETOWAH
SOUTHVIEW MEDICAL GROUP,"833 SAINT VINCENTS DR, BIRMINGHAM, AL 35205-1606",JEFFERSON
SPRINGHILL MEMORIAL HOSPITAL,"3719 DAUPHIN ST, MOBILE, AL 36608-1753",MOBILE
ST CLAIR CO HLTH DEPT - PELL CITY,"1175 23RD ST N, PELL CITY, AL 35125-9310",ST. CLAIR
ST. VINCENT'S BIRMINGHAM,"810 SAINT VINCENTS DR, BIRMINGHAM, AL 35205-1601",JEFFERSON
ST. VINCENT'S BLOUNT,"150 GILBREATH DR, ONEONTA, AL 35121-2827",BLOUNT
ST. VINCENT'S CHILTON,"2030 LAY DAM RD, CLANTON, AL 35045-8344",CHILTON
ST. VINCENT'S EAST,"50 MEDICAL PARK DR E, BIRMINGHAM, AL 35235-3401",JEFFERSON
ST. VINCENT'S ST. CLAIR,"7063 VETERANS PKWY, PELL CITY, AL 35125-5114",ST. CLAIR
SUMTER CO HEALTH DEPT,"1121 N WASHINGTON ST, LIVINGSTON, AL 35470-5415",SUMTER
SUPER BEE PHARMACY,"3354 RAINBOW DR, RAINBOW CITY, AL 35906",ETOWAH
SURE SAVE PHARMACY,"6046 HWY 53 , HARVEST, AL 35749",MADISON
"SYLACAUGA PHARMACY, LLC","1244 TALLADEGA HWY, SYLACAUGA, AL 35150",TALLADEGA
SYLVANIA PHARMACY,"14 INDUSTRIAL LANE, SYLVANIA, AL 35988",DEKALB
SYNCO DRUGS,"200 N THREE NOTCH ST, TROY, AL 36081",PIKE
TALLADEGA CO HLTH DEPT - SYLACAUGA,"311 N ELM AVE, SYLACAUGA, AL 35150-1992",TALLADEGA
TALLADEGA CO HLTH DEPT - TALLADEGA,"1004 SOUTH ST E, TALLADEGA, AL 35160-2621",TALLADEGA
TALLAPOOSA CO HLTH DEPT - ALEX CITY,"2078 SPORTSPLEX BLVD, ALEXANDER CITY, AL 35010",TALLAPOOSA
TAYLOR HARDIN SECURE MEDICAL FACILITY,"1301 JACK WARNER PKWY NE, TUSCALOOSA, AL 35404-1060",TUSCALOOSA
"THE DRUG STORE COMPANY, INC.","108 LAFAYETTE STREET, LIVINGSTON, AL 35470",SUMTER
THE MEDICINE SHOPPE PHARMACY #1436,"2701 PATTON RD SW STE E, HUNTSVILLE, AL 35805-4325",MADISON
THOMAS PHARMACY INC,"1713 PEPPERELL PARKWAY, OPELIKA, AL 36801",LEE
THOMASVILLE REGIONAL MEDICAL CENTER,"300 MED PARK DRIVE, THOMASVILLE, AL 36784",CLARKE
THREE NOTCH PHARMACY,"4880 LAKELAND DR STE F, MOBILE, AL 36619-1122",MOBILE
"TROY PHARMACY, LLC","1412 ELBA HIGHWAY, TROY, AL 36079",PIKE
TROY REGIONAL MEDICAL CENTER,"1330 HIGHWAY 231 S, TROY, AL 36081-3058",PIKE
TROY UNIVERSITY STUDENT HEALTH,"1 HAMIL HALL , TROY, AL 36082",PIKE
TUSCALOOSA CO HLTH DEPT,"2350 HARGROVE RD E, TUSCALOOSA, AL 35405-2612",TUSCALOOSA
UAB CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BOULEVARD, BIRMINGHAM, AL 35233",JEFFERSON
UAB EMPLOYEE HEALTH,"S123 SPAIN WALLACE 620 19TH STREET SOUTH, BIRMINGHAM, AL 35249-6508",JEFFERSON
UAB HOSPITAL,"619 19TH ST S, BIRMINGHAM, AL 35233-1925",JEFFERSON
UAB MONTGOMERY INTERNAL MEDICINE RESIDENCY PROGRAM,"2055 E SOUTH BLVD STE 202, MONTGOMERY, AL 36116-2002",MONTGOMERY
UAB PRIMARY CARE CLINIC,"1600 7TH AVE. SOUTH, BIRMINGHAM, AL 35233",JEFFERSON
UAH WELLNESS CLINIC,"301 SPARKMAN DR, HUNTSVILLE, AL 35899-0001",MADISON
UNIVERSITY MEDICAL CENTER,"850 PETER BRYCE BLVD, TUSCALOOSA, AL 35401",TUSCALOOSA
UNIVERSITY OF NORTH ALABAMA STUDENT HEALTH SERVICES,"416 NORTH SEMINARY STREET, FLORENCE, AL 35630",LAUDERDALE
USA CHILDREN'S & WOMEN'S HOSPITAL,"1700 CENTER ST, MOBILE, AL 36604-3301",MOBILE
USA HCA MOBILE DIAGNOSTIC CENTER ,"6701 AIRPORT BLVD, MOBILE, AL 36608-6705",MOBILE
USA HEALTH UNIVERSITY HOSPITAL,"2451 UNIVERSITY HOSPITAL DRIVE, MOBILE, AL 36617",MOBILE
VALLEY PHARMACY,"4103 20TH AVE, VALLEY, AL 36854-3448",CHAMBERS
VAUGHAN REGIONAL MEDICAL CENTER,"1015 MEDICAL CENTER PKWY, SELMA, AL 36701-6748",DALLAS
WADDELL CENTER FAMILY MEDICINE,"902 W WASHINGTON ST, ATHENS, AL 35611-2438",LIMESTONE
WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78 E, JASPER, AL 35501-8956",WALKER
WALKER CO HLTH DEPT,"PO BOX 3207, JASPER, AL 35502-3207",WALKER
WARHAWK HEALTH SERVICES,"7461 EAST DRIVE, MONTGOMERY, AL 36117",MONTGOMERY
WASHINGTON CO HLTH DEPT,"14900 SAINT STEPHENS AVE, CHATOM, AL 36518-6715",WASHINGTON
WASHINGTON COUNTY HOSPITAL & NURSING HOME,"14600 SAINT STEPHENS AVE, CHATOM, AL 36518-6711",WASHINGTON
WEST LIMESTONE FAMILY CARE,"28730 ALABAMA HIGHWAY 99, SUITE D, ELKMONT, AL 35620-7938",LIMESTONE
WETUMPKA FAMILY RURAL HEALTH CLINIC,"815 JACKSON TRACE RD, WETUMPKA, AL 36092-1504",ELMORE
"WHEELER PHARMACY, LLC","83871 HWY 9, ASHLAND, AL 36251",CLAY
WHITFIELD REGIONAL HOSPITAL,"105 US HIGHWAY 80 E, DEMOPOLIS, AL 36732-3605",MARENGO
WHS - MAUDE L WHATLEY HLTH CNTR,"PO BOX 2400, TUSCALOOSA, AL 35403-2400",TUSCALOOSA
WILCOX CO HLTH DEPT - CAMDEN,"107 UNION ST, CAMDEN, AL 36726-1728",WILCOX
WILLARD'S MEDICAL ARTS PHARMACY,"313 EAST PUSHMATAHA ST, BUTLER, AL 36904",CHOCTAW
WINFIELD FAMILY AND OCC MEDICINE,"191 CARRAWAY DR, WINFIELD, AL 35594-5067",MARION
WINSTON CO HLTH DEPT,"110 LEGION RD, DOUBLE SPRINGS, AL 35553-2365",WINSTON
WRIGHT DRUG COMPANY HEFLIN,"960 ROSS ST, HEFLIN, AL 36264-1164",CLEBURNE
WYBENGA FAMILY HEALTHCARE,"564 N MEMORIAL DR, PRATTVILLE, AL 36067-2132",AUTAUGA
YERBY FREDERICK L MD,"1716 TEMPLE AVE N STE 6, FAYETTE, AL 35555-1309",FAYETTE
YORK DRUG STORE,"583 4TH AVE, YORK, AL 36925-2008",SUMTER
